Year,propertytype,numberofincidences
2021,Motor Vehicle,109
2021,Cellular Phone,6
2021,Computer Equipment,1
2021,Consumable Goods,12
2021,Gambling Equipment,1
2021,Household Goods,20
2021,Merchandise,4
2021,Miscellaneous,83
2021,Other,24
2021,Other Motor Vehicles,3
2021,Structures,123
2021,Storage,4
2021,"Television, Radio, Stereos, Etc.",8
2021,Vehicle Parts/Accessories,42
2022,Artistic Supplies/Accessories,1
2022,Motor Vehicle,108
2022,Bicycle,1
2022,Building Materials,6
2022,Cellular Phone,4
2022,Collections/Collectibles,1
2022,Computer Equipment,2
2022,Consumable Goods,2
2022,Heavy Construction Equip,1
2022,Household Goods,7
2022,Lawn/Yard/Garden Equipment,1
2022,Merchandise,2
2022,"Metals, Non-Precious",1
2022,Miscellaneous,52
2022,Other,17
2022,Other Motor Vehicles,1
2022,Structures,118
2022,Storage,1
2022,"Television, Radio, Stereos, Etc.",3
2022,Trailers,2
2022,Vehicle Parts/Accessories,20
2022,Watercraft,1
2023,Alcohol,1
2023,Motor Vehicle,90
2023,Building Materials,5
2023,Cellular Phone,10
2023,Clothing & Furs,2
2023,Computer Equipment,7
2023,Construction Equipment,2
2023,Consumable Goods,1
2023,Documents/Personal or Business,1
2023,Gambling Equipment,1
2023,Household Goods,8
2023,Merchandise,2
2023,Miscellaneous,24
2023,Other,28
2023,Structures,88
2023,Phone,1
2023,Photographic/Optical Equipment,1
2023,"Radio, TVs, etc",2
2023,Recordings - Audio/Visual,1
2023,"Television, Radio, Stereos, Etc.",7
2023,Vehicle Parts/Accessories,35
2024,Motor Vehicle,12
2024,Building Materials,1
2024,Cellular Phone,1
2024,Household Goods,4
2024,Miscellaneous,9
2024,Structures,18
2024,Phone,1
2024,"Radio, TVs, etc",1
2024,Recreational Vehicles,1
2024,"Television, Radio, Stereos, Etc.",3
2024,Vehicle Parts/Accessories,3
,,
,,
